ID,Label,Rarity,ItemType,Icon
hatchetcharmt4,Reinforced Steel Hatchet Charm,1,Resource,HatchetCharmT1
hatchetcharmt3,Orichalcum Hatchet Charm,1,Resource,HatchetCharmT3
hatchetcharmt2,Starmetal Hatchet Charm,1,Resource,HatchetCharmT2
hatchetcharmt1,Steel Hatchet Charm,1,Resource,HatchetCharmT1
shieldcharmt3,Orichalcum Shield Charm,1,Resource,ShieldCharmT3
shieldcharmt2,Starmetal Shield Charm,1,Resource,ShieldCharmT2
shieldcharmt1,Steel Shield Charm,1,Resource,ShieldCharmT1
swordcharmt3,Orichalcum Sword Charm,1,Resource,SwordCharmT3
swordcharmt2,Starmetal Sword Charm,1,Resource,SwordCharmT2
swordcharmt1,Steel Sword Charm,1,Resource,SwordCharmT1
wyrdwoodsapt3,Draught of Wyrdwood Sap,1,Resource,WyrdwoodSapT3
wyrdwoodsapt2,Vial of Wyrdwood Sap,1,Resource,WyrdwoodSapT2
wyrdwoodsapt1,Drop of Wyrdwood Sap,1,Resource,WyrdwoodSapT1
wyrdwoodresint3,Chunk of Wyrdwood Resin,1,Resource,WyrdwoodResinT3
wyrdwoodresint2,Shard of Wyrdwood Resin,1,Resource,WyrdwoodResinT2
wyrdwoodresint1,Sliver of Wyrdwood Resin,1,Resource,WyrdwoodResinT1
writhingvinest3,Thrashing Vines,1,Resource,WrithingVinesT3
writhingvinest2,Writhing Vines,1,Resource,WrithingVinesT2
writhingvinest1,Squirming Vines,1,Resource,WrithingVinesT1
writhingbriart3,Clump of Writhing Briar,1,Resource,WrithingBriarT3
writhingbriart2,Tangle of Writhing Briar,1,Resource,WrithingBriarT2
writhingbriart1,Strand of Writhing Briar,1,Resource,WrithingBriarT1
wolfpawt3,Huge Wolf Paw,1,Resource,WolfPawT3
wolfpawt2,Large Wolf Paw,1,Resource,WolfPawT2
wolfpawt1,Small Wolf Paw,1,Resource,WolfPawT1
wolfessencet3,Draught of Wolf Essence,1,Resource,WolfEssenceT3
wolfessencet2,Vial of Wolf Essence,1,Resource,WolfEssenceT2
wolfessencet1,Drop of Wolf Essence,1,Resource,WolfEssenceT1
witheredessencet3,Draught of Withered Essence,1,Resource,WitheredEssenceT3
witheredessencet2,Vial of Withered Essence,1,Resource,WitheredEssenceT2
witheredessencet1,Drop of Withered Essence,1,Resource,WitheredEssenceT1
whetstonet3,Pristine Whetstone,1,Resource,WhetstoneT3
whetstonet2,Whetstone,1,Resource,WhetstoneT2
whetstonet1,Worn Whetstone,1,Resource,WhetstoneT1
weaponsmithcharmt3,Orichalcum Weaponsmith's Charm,1,Resource,WeaponsmithCharmT3
weaponsmithcharmt2,Starmetal Weaponsmith's Charm,1,Resource,WeaponsmithCharmT2
weaponsmithcharmt1,Steel Weaponsmith's Charm,1,Resource,WeaponsmithCharmT1
viscousazotht3,Draught of Viscous Azoth,1,Resource,ViscousAzothT3
viscousazotht2,Vial of Viscous Azoth,1,Resource,ViscousAzothT2
viscousazotht1,Drop of Viscous Azoth,1,Resource,ViscousAzothT1
verbenat3,Verbena Flower,1,Resource,VerbenaT3
verbenat2,Verbena Leaf,1,Resource,VerbenaT2
verbenat1,Verbena Stem,1,Resource,VerbenaT1
travelersstonet3,This stone will have a purpose when it has one (bug this if you find it in-game),1,Resource,TravelersStoneT3
travelersstonet2,Large Traveler's Stone,1,Resource,TravelersStoneT2
travelersstonet1,Small Traveler's Stone,1,Resource,TravelersStoneT1
travelerscharmt3,Orichalcum Travelers Charm,1,Resource,TravelersCharmT3
travelerscharmt2,Starmetal Traveler's Charm,1,Resource,TravelersCharmT2
travelerscharmt1,Steel Traveler's Charm,1,Resource,TravelersCharmT1
thunderstonet3,Chunk of Thunderstone,1,Resource,ThunderstoneT3
thunderstonet2,Shard of Thunderstone,1,Resource,ThunderstoneT2
thunderstonet1,Sliver of Thunderstone,1,Resource,ThunderstoneT1
tallowt3,High Quality Tallow,1,Resource,TallowT3
tallowt2,Tallow,1,Resource,TallowT2
tallowt1,Low Quality Tallow,1,Resource,TallowT1
sparkmetalt3,Chunk of Sparkmetal,1,Resource,SparkmetalT3
sparkmetalt2,Shard of Sparkmetal,1,Resource,SparkmetalT2
sparkmetalt1,Sliver of Sparkmetal,1,Resource,SparkmetalT1
skinnercharmt3,Orichalcum Skinners Charm,1,Resource,SkinnerCharmT3
skinnercharmt2,Starmetal Skinners Charm,1,Resource,SkinnerCharmT2
skinnercharmt1,Steel Skinners Charm,1,Resource,SkinnerCharmT1
sapt3,Draught of Sap,1,Resource,SapT3
sapt2,Vial of Sap,1,Resource,SapT2
sapt1,Drop of Sap,1,Resource,SapT1
rivetedmailt3,Riveted Orichalcum Mail,1,Resource,RivetedMailT3
rivetedmailt2,Riveted Starmetal Mail,1,Resource,RivetedMailT2
rivetedmailt1,Riveted Steel Mail,1,Resource,RivetedMailT1
resint3,Resin Chunk,1,Resource,ResinT3
resint2,Resin Lump,1,Resource,ResinT2
resint1,Resin Shavings,1,Resource,ResinT1
quicksilvert3,Draught of Quicksilver,1,Resource,QuicksilverT3
quicksilvert2,Vial of Quicksilver,1,Resource,QuicksilverT2
quicksilvert1,Drop of Quicksilver,1,Resource,QuicksilverT1
nitert3,Chunk of Niter,1,Resource,NiterT3
nitert2,Shard of Niter,1,Resource,NiterT2
nitert1,Sliver of Niter,1,Resource,NiterT1
minercharmt3,Orichalcum Miners Charm,1,Resource,MinerCharmT3
minercharmt2,Starmetal Miner's Charm,1,Resource,MinerCharmT2
minercharmt1,Steel Miner's Charm,1,Resource,MinerCharmT1
mangyhidet3,Callus Mangy Hide,1,Resource,MangyHideT3
mangyhidet2,Worn Mangy Hide,1,Resource,MangyHideT2
mangyhidet1,Tattered Mangy Hide,1,Resource,MangyHideT1
lumberjackcharmt3,Orichalcum Lumberjacks Charm,1,Resource,LumberjackCharmT3
lumberjackcharmt2,Starmetal Lumberjack's Charm,1,Resource,LumberjackCharmT2
lumberjackcharmt1,Steel Lumberjack's Charm,1,Resource,LumberjackCharmT1
jewelcraftercharmt3,Orichalcum Jewelcrafters Charm,1,Resource,JewelcrafterCharmT3
jewelcraftercharmt2,Starmetal Jewelcrafter's Charm,1,Resource,JewelcrafterCharmT2
jewelcraftercharmt1,Steel Jewelcrafter's Charm,1,Resource,JewelcrafterCharmT1
ironwoodsapt3,Draught of Ironwood Sap,1,Resource,IronwoodSapT3
ironwoodsapt2,Vial of Ironwood Sap,1,Resource,IronwoodSapT2
ironwoodsapt1,Drop of Ironwood Sap,1,Resource,IronwoodSapT1
ironwoodresint3,Chunk of Ironwood Resin,1,Resource,IronwoodResinT3
ironwoodresint2,Shard of Ironwood Resin,1,Resource,IronwoodResinT2
ironwoodresint1,Sliver of Ironwood Resin,1,Resource,IronwoodResinT1
hornt3,Pristine Horn,1,Resource,HornT3
hornt2,Jagged Horn,1,Resource,HornT2
hornt1,Horn,1,Resource,HornT1
holywatert3,Draught of Blessed Water,1,Resource,HolyWaterT3
holywatert2,Vial of Blessed Water,1,Resource,HolyWaterT2
holywatert1,Drop of Blessed Water,1,Resource,HolyWaterT1
frozenfangt3,Frozen Fang,1,Resource,FrozenFangT3
frozenfangt2,Frigid Fang,1,Resource,FrozenFangT2
frozenfangt1,Chilled Fang,1,Resource,FrozenFangT1
fangt3,Pristine Animal Fang,1,Resource,FangT3
fangt2,Jagged Animal Fang,1,Resource,FangT2
fangt1,Animal Fang,1,Resource,FangT1
engineercharmt3,Orichalcum Engineer's Charm,1,Resource,EngineerCharmT3
engineercharmt2,Starmetal Engineer's Charm,1,Resource,EngineerCharmT2
engineercharmt1,Steel Engineers Charm,1,Resource,EngineerCharmT1
enchantedeartht3,Chunk of Enchanted Earth,1,Resource,EnchantedEarthT3
enchantedeartht2,Shard of Enchanted Earth,1,Resource,EnchantedEarthT2
enchantedeartht1,Sliver of Enchanted Earth,1,Resource,EnchantedEarthT1
elkhooft3,Huge Elk Hoof,1,Resource,ElkHoofT3
elkhooft2,Large Elk Hoof,1,Resource,ElkHoofT2
elkhooft1,Small Elk Hoof,1,Resource,ElkHoofT1
ectoplasmt3,Draught of Ectoplasm,1,Resource,EctoplasmT3
ectoplasmt2,Vial of Ectoplasm,1,Resource,EctoplasmT2
ectoplasmt1,Drop of Ectoplasm,1,Resource,EctoplasmT1
crystalizedectoplasmt3,Chunk of Crystalized Ectoplasm,1,Resource,CrystalizedEctoplasmT3
crystalizedectoplasmt2,Shard of Crystalized Ectoplasm,1,Resource,CrystalizedEctoplasmT2
crystalizedectoplasmt1,Sliver of Crystalized Ectoplasm,1,Resource,CrystalizedEctoplasmT1
crystalizedazotht3,Chunk of Crystalized Azoth,1,Resource,CrystalizedAzothT3
crystalizedazotht2,Shard of Crystalized Azoth,1,Resource,CrystalizedAzothT2
crystalizedazotht1,Sliver of Crystalized Azoth,1,Resource,CrystalizedAzothT1
crystalt3,Chunk of Crystal,1,Resource,CrystalT3
crystalt2,Shard of Crystal,1,Resource,CrystalT2
crystalt1,Sliver of Crystal,1,Resource,CrystalT1
corruptedsigilt3,Perfect Corrupted Sigil,1,Resource,BountyT9
corruptedsigilt2,Fine Corrupted Sigil,1,Resource,BountyT7
corruptedsigilt1,Corrupted Sigil,1,Resource,BountyT5
corruptedmattert3,Chunk of Corrupted Matter,1,Resource,CorruptedMatterT3
corruptedmattert2,Shard of Corrupted Matter,1,Resource,CorruptedMatterT2
corruptedmattert1,Sliver of Corrupted Matter,1,Resource,CorruptedMatterT1
corruptedinsigniat3,Brilliant Corrupted Insignia,1,Resource,BountyT10
corruptedinsigniat2,Faint Corrupted Insignia,1,Resource,BountyT8
corruptedinsigniat1,Vacant Corrupted Insignia,1,Resource,BountyT6
corruptedichort3,Draught of Corrupted Ichor,1,Resource,CorruptedIchorT3
corruptedichort2,Vial of Corrupted Ichor,1,Resource,CorruptedIchorT2
corruptedichort1,Drop of Corrupted Ichor,1,Resource,CorruptedIchorT1
corruptedessencet3,Draught of Corrupted Essence,1,Resource,CorruptedEssenceT3
corruptedessencet2,Vial of Corrupted Essence,1,Resource,CorruptedEssenceT2
corruptedessencet1,Drop of Corrupted Essence,1,Resource,CorruptedEssenceT1
corruptedclotht3,Bolt of Corrupted Cloth,1,Resource,CorruptedClothT3
corruptedclotht2,Patch of Corrupted Cloth,1,Resource,CorruptedClothT2
corruptedclotht1,Thread of Corrupted Cloth,1,Resource,CorruptedClothT1
consecratediront3,Chunk of Consecrated Iron,1,Resource,ConsecratedIronT3
consecratediront2,Shard of Consecrated Iron,1,Resource,ConsecratedIronT2
consecratediront1,Sliver of Consecrated Iron,1,Resource,ConsecratedIronT1
cobaltt3,Chunk of Cobalt,1,Resource,CobaltT3
cobaltt2,Shard of Cobalt,1,Resource,CobaltT2
cobaltt1,Sliver of Cobalt,1,Resource,CobaltT1
clawt3,Pristine Animal Claw,1,Resource,ClawT3
clawt2,Jagged Animal Claw,1,Resource,ClawT2
clawt1,Animal Claw,1,Resource,ClawT1
chefcharmt3,Orichalcum Chef's Charm,1,Resource,ChefCharmT3
chefcharmt2,Starmetal Chef's Charm,1,Resource,ChefCharmT2
chefcharmt1,Steel Chef's Charm,1,Resource,ChefCharmT1
botanistcharmt3,Orichalcum Botanists Charm,1,Resource,BotanistCharmT3
botanistcharmt2,Starmetal Botanist's Charm,1,Resource,BotanistCharmT2
botanistcharmt1,Steel Botanist's Charm,1,Resource,BotanistCharmT1
boartuskt3,Pristine Boar Tusk,1,Resource,BoarTuskT3
boartuskt2,Jagged Boar Tusk,1,Resource,BoarTuskT2
boartuskt1,Boar Tusk,1,Resource,BoarTuskT1
boarhooft3,Huge Boar Hoof,1,Resource,BoarHoofT3
boarhooft2,Large Boar  Hoof,1,Resource,BoarHoofT2
boarhooft1,Small Boar Hoof,1,Resource,BoarHoofT1
bearpawt3,Ancient Bear Paw,1,Resource,BearPawT3
bearpawt2,Massive Bear Paw,1,Resource,BearPawT2
bearpawt1,Large Bear Paw,1,Resource,BearPawT1
batrachitet3,Chunk of Batrachite,1,Resource,BatrachiteT3
batrachitet2,Shard of Batrachite,1,Resource,BatrachiteT2
batrachitet1,Sliver of Batrachite,1,Resource,BatrachiteT1
baetylust3,Chunk of Baetylus,1,Resource,BaetylusT3
baetylust2,Shard of Baetylus,1,Resource,BaetylusT2
baetylust1,Sliver of Baetylus,1,Resource,BaetylusT1
azothoilt3,Draught of Azoth Oil,1,Resource,AzothOilT3
azothoilt2,Vial of Azoth Oil,1,Resource,AzothOilT2
azothoilt1,Drop of Azoth Oil,1,Resource,AzothOilT1
azaleanectart3,Draught of Azalea Nectar,1,Resource,AzaleaNectarT3
azaleanectart2,Vial of Azalea Nectar,1,Resource,AzaleaNectarT2
azaleanectart1,Drop of Azalea Nectar,1,Resource,AzaleaNectarT1
armorscrapst3,Armor Fragments,1,Resource,ArmorScrapsT3
armorscrapst2,Armor Scraps,1,Resource,ArmorScrapsT2
armorscrapst1,Armor Shards,1,Resource,ArmorScrapsT1
armorercharmt3,Orichalcum Armorer's Charm,1,Resource,ArmorerCharmT3
armorercharmt2,Starmetal Armorer's Charm,1,Resource,ArmorerCharmT2
armorercharmt1,Steel Armorer's Charm,1,Resource,ArmorerCharmT1
arcanistcharmt3,Orichalcum Arcanist's Charm,1,Resource,ArcanistCharmT3
arcanistcharmt2,Starmetal Arcanist's Charm,1,Resource,ArcanistCharmT2
arcanistcharmt1,Steel Arcanist's Charm,1,Resource,ArcanistCharmT1
animust3,Brilliant Animus,1,Resource,AnimusT3
animust2,Shining Animus,1,Resource,AnimusT2
animust1,Shimmering Animus,1,Resource,AnimusT1
ancientessencet3,Draught of Ancient Essence,1,Resource,AncientEssenceT3
ancientessencet2,Vial of Ancient Essence,1,Resource,AncientEssenceT2
ancientessencet1,Drop of Ancient Essence,1,Resource,AncientEssenceT1
adderstonet3,Chunk of Adderstone,1,Resource,AdderStoneT3
adderstonet2,Shard of Adderstone,1,Resource,AdderStoneT2
adderstonet1,Sliver of Adderstone,1,Resource,AdderStoneT1
adamantt3,Chunk of Adamant,1,Resource,AdamantT3
adamantt2,Shard of Adamant,1,Resource,AdamantT2
adamantt1,Sliver of Adamant,1,Resource,AdamantT1
Any Craft Mods,Any Craft Mods,1,Item Category,icons/items/drawing/moonstonecut
repairkitt5,Master Repair Kit,0,Resource,RepairKitT5
repairkitt4,Expert Repair Kit,0,Resource,RepairKitT4
repairkitt3,Advanced Repair Kit,0,Resource,RepairKitT3
repairkitt2,Standard Repair Kit,0,Resource,RepairKitT2
ingott51,Asmodeum,3,Resource,IngotT51
trinket_settingt51,Asmodeum Setting,3,Resource,Trinket_SettingT51
ingott5,Orichalcum Ingot,0,Resource,IngotT5
trinket_settingt5,Orichalcum Setting,0,Resource,Trinket_SettingT5
ingotprecioust3,Platinum Ingot,0,Resource,IngotPreciousT3
trinket_settingt4,Platinum Setting,0,Resource,Trinket_SettingT4
ingotprecioust2,Gold Ingot,0,Resource,IngotPreciousT2
trinket_settingt3,Gold Setting,0,Resource,Trinket_SettingT3
trinket_hookt51,Asmodeum Hook,3,Resource,Trinket_HookT51
trinket_hookt5,Orichalcum Hook,0,Resource,Trinket_HookT5
trinket_hookt4,Platinum Hook,0,Resource,Trinket_HookT4
trinket_hookt3,Gold Hook,0,Resource,Trinket_HookT3
trinket_chaint51,Asmodeum Chain,3,Resource,Trinket_ChainT51
trinket_chaint5,Orichalcum Chain,0,Resource,Trinket_ChainT5
trinket_chaint4,Platinum Chain,0,Resource,Trinket_ChainT4
trinket_chaint3,Gold Chain,0,Resource,Trinket_ChainT3
trinket_bandt51,Asmodeum Band,3,Resource,Trinket_BandT51
trinket_bandt5,Orichalcum Band,0,Resource,Trinket_BandT5
trinket_bandt4,Platinum Band,0,Resource,Trinket_BandT4
trinket_bandt3,Gold Band,0,Resource,Trinket_BandT3
topazt2,Topaz,1,Resource,TopazT2
alchemyairt3,Air Essence,2,Resource,AlchemyAirT3
Solvent,Solvent,0,Item Category,icons/items/drawing/refiningreagents
topazt3,Brilliant Topaz,2,Resource,TopazT3
topazt1,Flawed Topaz,0,Resource,TopazT1
alchemyairt2,Air Wisp,1,Resource,AlchemyAirT2
essenceairt1,Air Quintessence,3,Resource,EssenceAirT1
topazt4,Pristine Topaz,3,Resource,TopazT4
topazcutt4,Cut Pristine Topaz,3,Resource,TopazCutT4
topazcutt3,Cut Brilliant Topaz,2,Resource,TopazCutT3
topazcutt2,Cut Topaz,1,Resource,TopazCutT2
timbert5,Ironwood Planks,0,Resource,TimberT5
wildwoodt1,Wildwood,4,Resource,WrithingVinesT3
barbvinet1,Barbvine,4,Resource,WrithingBriarT3
timbert51,Glittering Ebony,3,Resource,TimberT51
woodt5,Ironwood,0,Resource,WoodT5
timbert4,Wyrdwood Planks,0,Resource,TimberT4
Sandpaper,Sandpaper,0,Item Category,icons/items/drawing/refiningreagents
woodt4,Wyrdwood,0,Resource,WoodT4
timbert3,Lumber,0,Resource,TimberT3
woodt2,Aged Wood,0,Resource,WoodT2
timbert2,Timber,0,Resource,TimberT2
workorder_1004_0103_weapon_keen_temper,Keen Temper Work Order,0,Resource,ClaimCharterT1
1004_0103_quenchingoil,Quenching Oil,0,Resource,OilT1
1004_0103_hiltleather,Hilt Leather,0,Resource,EmbossedWrappingT5
1004_0103_grindstone,Grindstone,0,Resource,WhetstoneT3
1004_0103_captainsblade,Blade of l'Olonnois,0,Resource,MI_BrokenSword
1hlongsword_keentempert4,Keen Temper,3,Weapon,1hLongsword_GraciousHostT4
workorder_structuralbracest5,Work Order: Orichalcum Structural Braces,0,Resource,ClaimCharterT1
structuralbracest5,Orichalcum Structural Braces,0,Resource,StructuralBracesT5
workorder_structuralbracest4,Work Order: Starmetal Structural Braces,0,Resource,ClaimCharterT1
structuralbracest4,Starmetal Structural Braces,0,Resource,StructuralBracesT4
workorder_structuralbracest3,Work Order: Steel Structural Braces,0,Resource,ClaimCharterT1
structuralbracest3,Steel Structural Braces,0,Resource,StructuralBracesT3
workorder_structuralbracest2,Work Order: Iron Structural Braces,0,Resource,ClaimCharterT1
structuralbracest2,Iron Structural Braces,0,Resource,StructuralBracesT2
strintbonust3,Gold Lost Locket,1,Resource,STRINTBonusT3
transmutationcatalystt5,Grand Transmutation Catalyst,3,Resource,AnimusT3
strintbonust4,Platinum Lost Locket,1,Resource,STRINTBonusT4
strintbonust2,Silver Lost Locket,1,Resource,STRINTBonusT2
transmutationcatalystt4,Greater Transmutation Catalyst,2,Resource,AnimusT2
strintbonust1,Wooden Lost Locket,1,Resource,STRINTBonusT1
transmutationcatalystt3,Common Transmutation Catalyst,1,Resource,AnimusT1
strfocbonust3,Boar Hoof,1,Resource,STRFOCBonusT3
strfocbonust4,Boar Tusk,1,Resource,STRFOCBonusT4
strfocbonust2,Boar Eye,1,Resource,STRFOCBonusT2
strfocbonust1,Boar Blood,1,Resource,STRFOCBonusT1
strdexbonust3,Wolf Claw,1,Resource,STRDEXBonusT3
strdexbonust4,Wolf Fang,1,Resource,STRDEXBonusT4
strdexbonust2,Wolf Paw,1,Resource,STRDEXBonusT2
strdexbonust1,Wolf Blood,1,Resource,STRDEXBonusT1
strconbonust3,Bear Claw,1,Resource,STRCONBonusT3
strconbonust4,Bear Fang,1,Resource,STRCONBonusT4
strconbonust2,Bear Paw,1,Resource,STRCONBonusT2
strconbonust1,Bear Blood,1,Resource,STRCONBonusT1
strbonust3,Starmetal Battle Medal,1,Resource,STRBonusT3
strbonust4,Orichalcum Battle Medal,1,Resource,STRBonusT4
strbonust2,Steel Battle Medal,1,Resource,STRBonusT2
strbonust1,Iron Battle Medal,1,Resource,STRBonusT1
clotht5,Infused Silk,0,Resource,ClothT5
gunpowdert2,Gunpowder,1,Resource,GunpowderT2
shott5,Orichalcum Cartridge,0,Ammo,ShotT5
ingott4,Starmetal Ingot,0,Resource,IngotT4
clotht4,Silk,0,Resource,ClothT4
shott4,Starmetal Cartridge,0,Ammo,ShotT4
ingott3,Steel Ingot,0,Resource,IngotT3
clotht3,Sateen,0,Resource,ClothT3
shott3,Steel Cartridge,0,Ammo,ShotT3
ingott2,Iron Ingot,0,Resource,IngotT2
clotht2,Linen,0,Resource,ClothT2
shott2,Iron Cartridge,0,Ammo,ShotT2
workorder_sewingneedlest5,Work Order: Orichalcum Sewing Needles,0,Resource,ClaimCharterT1
sewingneedlest5,Orichalcum Sewing Needles,0,Resource,SewingNeedlesT5
workorder_sewingneedlest4,Work Order: Starmetal Sewing Needles,0,Resource,ClaimCharterT1
sewingneedlest4,Starmetal Sewing Needles,0,Resource,SewingNeedlesT4
workorder_sewingneedlest3,Work Order: Steel Sewing Needles,0,Resource,ClaimCharterT1
sewingneedlest3,Steel Sewing Needles,0,Resource,SewingNeedlesT3
workorder_sewingneedlest2,Work Order: Iron Sewing Needles,0,Resource,ClaimCharterT1
sewingneedlest2,Iron Sewing Needles,0,Resource,SewingNeedlesT2
honeyt1,Honey,0,Consumable,HoneyT1
sugart1,Sugar,0,Resource,SugarT1
saltt1,Salt,0,Resource,SaltT1
garlict1,Garlic,0,Resource,GarlicT1
