Source,Target,BaseGearScore,Cooldown,RecipeLevel,SalvageRecipe,Quantity,Tradeskill,Rarity,Station,Icon,Type,Category
Refining Materials Tier 5,clothweavet5,150.0,nan,nan,nan,20,Weaving,2.0,Loom Tier 5,ClothWeaveT5,recipe,Material Conversion
reagentconvertert4,clothweavet4,100.0,nan,nan,nan,1,Weaving,1.0,Loom Tier 4,SilkWeaveT4,recipe,Material Conversion
Refining Materials Tier 4,clothweavet4,100.0,nan,nan,nan,20,Weaving,1.0,Loom Tier 4,SilkWeaveT4,recipe,Material Conversion
reagentconvertert3,clothweavet3,50.0,nan,nan,nan,1,Weaving,0.0,Loom Tier 3,ClothWeaveT3,recipe,Material Conversion
Refining Materials Tier 3,clothweavet3,50.0,nan,nan,nan,20,Weaving,0.0,Loom Tier 3,ClothWeaveT3,recipe,Material Conversion
solventt5,woodstaint5,150.0,nan,nan,nan,10,Furnishing,3.0,Workshop Tier 5,WoodStainT5,recipe,Crafting Components
oilt1,woodstaint5,150.0,nan,nan,nan,4,Furnishing,3.0,Workshop Tier 5,WoodStainT5,recipe,Crafting Components
solventt4,woodstaint4,100.0,nan,nan,nan,10,Furnishing,2.0,Workshop Tier 4,WoodStainT4,recipe,Crafting Components
oilt1,woodstaint4,100.0,nan,nan,nan,4,Furnishing,2.0,Workshop Tier 4,WoodStainT4,recipe,Crafting Components
solventt3,woodstaint3,50.0,nan,nan,nan,10,Furnishing,1.0,Workshop Tier 3,WoodStainT3,recipe,Crafting Components
oilt1,woodstaint3,50.0,nan,nan,nan,4,Furnishing,1.0,Workshop Tier 3,WoodStainT3,recipe,Crafting Components
charcoalt1,woodstaint2,0.0,nan,nan,nan,10,Furnishing,0.0,Workshop Tier 2,WoodStainT2,recipe,Crafting Components
solventt3,woodstaint2,0.0,nan,nan,nan,4,Furnishing,0.0,Workshop Tier 2,WoodStainT2,recipe,Crafting Components
repair_t1,repairkitt5,165.0,nan,nan,nan,300,Armoring,0.0,Outfitting Station Tier 5,RepairKitT5,recipe,Consumables
icegauntletcharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
icegauntletcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
icegauntletcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
icegauntletcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
spearcharmt6,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
spearcharmt5,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
spearcharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
spearcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
spearcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
spearcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
rapiercharmt6,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
rapiercharmt5,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
rapiercharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
rapiercharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
rapiercharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
rapiercharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
firestaffcharmt6,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
firestaffcharmt5,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
firestaffcharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
firestaffcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
firestaffcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
firestaffcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
lifestaffcharmt6,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
lifestaffcharmt5,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
lifestaffcharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
lifestaffcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
lifestaffcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
lifestaffcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
musketcharmt6,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
musketcharmt5,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
musketcharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
musketcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
musketcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
musketcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
bowcharmt6,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
bowcharmt5,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
bowcharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
bowcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
bowcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
bowcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2haxecharmt6,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2haxecharmt5,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2haxecharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2haxecharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2haxecharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2haxecharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2hhammercharmt6,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2hhammercharmt5,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2hhammercharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2hhammercharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2hhammercharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
2hhammercharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
hatchetcharmt6,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
hatchetcharmt5,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
hatchetcharmt4,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
hatchetcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
hatchetcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
hatchetcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
shieldcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
shieldcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
shieldcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
swordcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
swordcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
swordcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wyrdwoodsapt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wyrdwoodsapt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wyrdwoodsapt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wyrdwoodresint3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wyrdwoodresint2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wyrdwoodresint1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
writhingvinest3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
writhingvinest2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
writhingvinest1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
writhingbriart3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
writhingbriart2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
writhingbriart1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wolfpawt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wolfpawt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wolfpawt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wolfessencet3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wolfessencet2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
wolfessencet1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
witheredessencet3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
witheredessencet2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
witheredessencet1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
whetstonet3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
whetstonet2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
whetstonet1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
weaponsmithcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
weaponsmithcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
weaponsmithcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
viscousazotht3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
viscousazotht2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
viscousazotht1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
verbenat3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
verbenat2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
verbenat1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
travelersstonet3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
travelersstonet2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
travelersstonet1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
travelerscharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
travelerscharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
travelerscharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
thunderstonet3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
thunderstonet2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
thunderstonet1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
tallowt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
tallowt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
tallowt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
sparkmetalt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
sparkmetalt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
sparkmetalt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
skinnercharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
skinnercharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
skinnercharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
sapt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
sapt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
sapt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
rivetedmailt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
rivetedmailt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
rivetedmailt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
resint3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
resint2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
resint1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
quicksilvert3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
quicksilvert2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
quicksilvert1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
nitert3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
nitert2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
nitert1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
minercharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
minercharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
minercharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
mangyhidet3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
mangyhidet2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
mangyhidet1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
lumberjackcharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
lumberjackcharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
lumberjackcharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
jewelcraftercharmt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
jewelcraftercharmt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
jewelcraftercharmt1,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
ironwoodsapt3,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
ironwoodsapt2,Any Craft Mods,0,Item Category,0,Item Category,1,Item Category,1,Item Category,icons/items/drawing/moonstonecut,category,Item Category
