ID,Label,Rarity,Value
Tier 3 Metals,Tier 3 Metals,3,27
Tier 2 Metals,Tier 2 Metals,2,9
Tier 5 Protective Reagents,Tier 5 Protective Reagents,5,243
Water Reagents,Water Reagents,0,1
Tier 4 Protective Reagents,Tier 4 Protective Reagents,4,81
Tier 3 Protective Reagents,Tier 3 Protective Reagents,3,27
Tier 2 Protective Reagents,Tier 2 Protective Reagents,2,9
Air Reagents,Air Reagents,0,1
Life Arcana,Life Arcana,0,1
Wood,Wood,0,1
Fire Arcana,Fire Arcana,0,1
Tier 5 Timber,Tier 5 Timber,5,243
Metals,Metals,0,1
Tier 4 Timber,Tier 4 Timber,4,81
Tier 3 Timber,Tier 3 Timber,3,27
Tier 2 Timber,Tier 2 Timber,2,9
Tier 5 Cloth,Tier 5 Cloth,5,243
Tier 4 Cloth,Tier 4 Cloth,4,81
Tier 3 Cloth,Tier 3 Cloth,3,27
topazcutt4,Cut Pristine Topaz,3,160
Trinket Bands,Trinket Bands,0,1
Trinket Gem Settings,Trinket Gem Settings,0,1
Precious Metals,Precious Metals,0,1
topazcutt3,Cut Brilliant Topaz,2,35
topazcutt2,Cut Topaz,1,11
topazcutt1,Cut Flawed Topaz,1,3
sapphirecutt4,Cut Pristine Sapphire,3,160
sapphirecutt3,Cut Brilliant Sapphire,2,35
sapphirecutt2,Cut Sapphire,1,11
sapphirecutt1,Cut Flawed Sapphire,1,3
rubycutt4,Cut Pristine Ruby,3,160
rubycutt3,Cut Brilliant Ruby,2,35
rubycutt2,Cut Ruby,1,11
rubycutt1,Cut Flawed Ruby,1,3
pearlt4,Pristine Pearl,4,81
pearlt3,Brilliant Pearl,3,27
pearlt2,Pearl,2,9
pearlt1,Flawed Pearl,1,3
opalcutt4,Cut Pristine Opal,3,160
opalcutt3,Cut Brilliant Opal,2,35
opalcutt2,Cut Opal,1,11
opalcutt1,Cut Flawed Opal,1,3
onyxcutt4,Cut Pristine Onyx,3,160
onyxcutt3,Cut Brilliant Onyx,2,35
onyxcutt2,Cut Onyx,1,11
onyxcutt1,Cut Flawed Onyx,1,3
moonstonecutt4,Cut Pristine Moonstone,3,160
moonstonecutt3,Cut Brilliant Moonstone,2,35
moonstonecutt2,Cut Moonstone,1,11
moonstonecutt1,Cut Flawed Moonstone,1,3
malachitecutt4,Cut Pristine Malachite,3,160
malachitecutt3,Cut Brilliant Malachite,2,35
malachitecutt2,Cut Malachite,1,11
malachitecutt1,Cut Flawed Malachite,1,3
jaspercutt4,Cut Pristine Jasper,3,160
jaspercutt3,Cut Brilliant Jasper,2,35
jaspercutt2,Cut Jasper,1,11
jaspercutt1,Cut Flawed Jasper,1,3
emeraldcutt4,Cut Pristine Emerald,3,160
emeraldcutt3,Cut Brilliant Emerald,2,35
emeraldcutt2,Cut Emerald,1,11
emeraldcutt1,Cut Flawed Emerald,1,3
diamondcutt4,Cut Pristine Diamond,3,160
diamondcutt3,Cut Brilliant Diamond,2,35
diamondcutt2,Cut Diamond,1,11
diamondcutt1,Cut Flawed Diamond,1,3
carneliancutt4,Cut Pristine Carnelian,3,160
carneliancutt3,Cut Brilliant Carnelian,2,35
carneliancutt2,Cut Carnelian,1,11
carneliancutt1,Cut Flawed Carnelian,1,3
aquamarinecutt4,Cut Pristine Aquamarine,3,160
aquamarinecutt3,Cut Brilliant Aquamarine,2,35
aquamarinecutt2,Cut Aquamarine,1,11
aquamarinecutt1,Cut Flawed Aquamarine,1,3
amethystcutt4,Cut Pristine Amethyst,3,160
amethystcutt3,Cut Brilliant Amethyst,2,35
amethystcutt2,Cut Amethyst,1,11
amethystcutt1,Cut Flawed Amethyst,1,3
ambercutt4,Cut Pristine Amber,3,160
ambercutt3,Cut Brilliant Amber,2,35
ambercutt2,Cut Amber,1,11
ambercutt1,Cut Flawed Amber,1,3
Tier 5 Medicinal Reagents,Tier 5 Medicinal Reagents,5,243
Life Reagents,Life Reagents,0,1
Spirit Reagents,Spirit Reagents,0,1
Tier 4 Medicinal Reagents,Tier 4 Medicinal Reagents,4,81
Tier 3 Medicinal Reagents,Tier 3 Medicinal Reagents,3,27
Tier 2 Medicinal Reagents,Tier 2 Medicinal Reagents,2,9
Tier 5 Magical Reagents,Tier 5 Magical Reagents,5,243
Tier 4 Magical Reagents,Tier 4 Magical Reagents,4,81
Tier 3 Magical Reagents,Tier 3 Magical Reagents,3,27
Tier 2 Magical Reagents,Tier 2 Magical Reagents,2,9
Tier 1 Magical Reagents,Tier 1 Magical Reagents,1,3
Earth Reagents,Earth Reagents,0,1
Tier 1 Medicinal Reagents,Tier 1 Medicinal Reagents,1,3
Tier 5 Water Reagents,Tier 5 Water Reagents,5,243
Tier 4 Water Reagents,Tier 4 Water Reagents,4,81
Tier 3 Water Reagents,Tier 3 Water Reagents,3,27
Tier 2 Water Reagents,Tier 2 Water Reagents,2,9
Tier 5 Air Reagents,Tier 5 Air Reagents,5,243
Fire Reagents,Fire Reagents,0,1
Tier 4 Air Reagents,Tier 4 Air Reagents,4,81
Tier 3 Air Reagents,Tier 3 Air Reagents,3,27
Tier 5 Earth Reagents,Tier 5 Earth Reagents,5,243
Tier 4 Earth Reagents,Tier 4 Earth Reagents,4,81
Tier 3 Earth Reagents,Tier 3 Earth Reagents,3,27
Death Reagents,Death Reagents,0,1
Cloth,Cloth,0,1
Tier 5 Raw Foods,Tier 5 Raw Foods,5,243
Raw Foods,Raw Foods,0,1
Tier 4 Raw Foods,Tier 4 Raw Foods,4,81
Tier 3 Raw Foods,Tier 3 Raw Foods,3,27
Tier 2 Raw Foods,Tier 2 Raw Foods,2,9
Tier 1 Raw Foods,Tier 1 Raw Foods,1,3
Tier 2 Cloth,Tier 2 Cloth,2,9
Tier 5 Leather,Tier 5 Leather,5,243
Tier 4 Leather,Tier 4 Leather,4,81
Tier 3 Leather,Tier 3 Leather,3,27
Tier 2 Leather,Tier 2 Leather,2,9
Water Arcana,Water Arcana,0,1
Tier 5 Furs,Tier 5 Furs,5,243
Tier 4 Furs,Tier 4 Furs,4,81
Tier 3 Furs,Tier 3 Furs,3,27
Trinket Hooks,Trinket Hooks,0,1
Tier 5 Offensive Reagents,Tier 5 Offensive Reagents,5,243
Tier 4 Offensive Reagents,Tier 4 Offensive Reagents,4,81
Tier 3 Offensive Reagents,Tier 3 Offensive Reagents,3,27
Tier 2 Offensive Reagents,Tier 2 Offensive Reagents,2,9
holdingrunet5,Grand Rune of Holding,5,243
holdingrunet4,Greater Rune of Holding,4,81
holdingrunet3,Major Rune of Holding,3,27
holdingrunet2,Minor Rune of Holding,2,9
Trinket Chains,Trinket Chains,0,1
workorder_precisiontoolst5,Orichalcum Precision Tools,5,243
workorder_precisiontoolst4,Starmetal Precision Tools,4,81
workorder_precisiontoolst3,Steel Precision Tools,3,27
workorder_precisiontoolst2,Iron Precision Tools,2,9
workorder_practicedummyt5,Practice Golem,5,243
workorder_practicedummyt4,Advanced Practice Dummy,4,81
workorder_practicedummyt3,Complex Practice Dummy,3,27
workorder_practicedummyt2,Basic Practice Dummy,2,9
flourt1,Flour,0,1
saltt1,Salt,1,3
eggt1,Egg,1,3
workorder_partyspreadt5,Elegant Party Spread,5,243
workorder_partyspreadt4,Large Party Spread,4,81
workorder_partyspreadt3,Small Party Spread,3,27
workorder_partyspreadt2,Basic Party Spread,2,9
opalt3,Brilliant Opal,2,14
opalt2,Opal,1,7
opalt1,Flawed Opal,1,3
opalt4,Pristine Opal,3,47
onyxt3,Brilliant Onyx,2,14
onyxt2,Onyx,1,7
alchemylifet3,Life Essence,2,3
onyxt1,Flawed Onyx,1,3
alchemylifet2,Life Wisp,1,3
onyxt4,Pristine Onyx,3,47
essenceeartht1,Earth Quintessence,3,6
essencewatert1,Water Quintessence,3,6
alchemyeartht3,Earth Essence,2,3
alchemywatert3,Water Essence,2,3
alchemyeartht2,Earth Wisp,1,3
alchemywatert2,Water Wisp,1,3
workorder_nailst5,Orichalcum Nails,5,243
workorder_nailst4,Starmetal Nails,4,81
workorder_nailst3,Steel Nails,3,27
workorder_nailst2,Iron Nails,2,9
moonstonet3,Brilliant Moonstone,2,14
moonstonet2,Moonstone,1,7
moonstonet1,Flawed Moonstone,1,3
moonstonet4,Pristine Moonstone,3,47
leathert51,Runic Leather,3,1863
clotht51,Phoenixweave,3,1863
clawt5,Infused Claw,5,243
voidbentingot,Voidbent Ingot,0,1
fangt4,Infused Fang,4,81
scarhidet1,Scarhide,1,3
azoth_currency,azoth_currency,0,1
syndicateseal_occultist,Syndicate Occultist Seal,0,1
mediumlegs_syndicaterank5,Reinforced Syndicate Alchemist Pants of the Brigand,5,243
syndicateseal_cleric,Syndicate Cleric Seal,0,1
syndicateseal_barbarian,Syndicate Barbarian Seal,0,1
mediumlegs_syndicaterank4,Reinforced Syndicate Cabalist Pants of the Brigand,4,81
mediumlegs_syndicaterank3,Reinforced Syndicate Chronicler Pants of the Brigand,3,27
mediumlegs_syndicaterank2,Reinforced Syndicate Scrivener Pants of the Brigand,2,9
mediumlegs_syndicaterank1,Reinforced Syndicate Adept Pants of the Brigand,1,3
mediumlegs_syndicateplaguedoctort5,Reinforced Syndicate Plague Doctor Pants of the Mage,5,243
syndicateseal_brigand,Syndicate Brigand Seal,0,1
agentshaded,Shaded Agent,0,1
mediumlegs_shroudedintentpantst5,Shrouded Intent Pants,2,4
workorder_1002_0104_pants_shroudedintent,Shrouded Intent Work Order,0,1
1002_0104_murkmossextract,Murkmoss Extract,0,1
1002_0104_wovencording,Castaway Rigging,0,1
1002_0104_nightstoneslivers,Nightstone Slivers,0,1
marauderseal_occultist,Marauder Occultist Seal,0,1
mediumlegs_marauderrank5,Reinforced Marauder Commander Pants of the Brigand,5,243
marauderseal_cleric,Marauder Cleric Seal,0,1
marauderseal_barbarian,Marauder Barbarian Seal,0,1
mediumlegs_marauderrank4,Reinforced Marauder Destroyer Pants of the Brigand,4,81
mediumlegs_marauderrank3,Reinforced Marauder Ravager Pants of the Brigand,3,27
mediumlegs_marauderrank2,Reinforced Marauder Gladiator Pants of the Brigand,2,9
mediumlegs_marauderrank1,Reinforced Marauder Soldier Pants of the Brigand,1,3
stickyvinest1,Sticky Vines,1,3
spectraldustt1,Spectral Dust,1,3
collarjadet1,Jade Collar,1,3
corruptedtalismant1,Corrupted Talisman,1,3
sparklingbonedustt1,Sparkling Bone Dust,1,3
coagulatedbloodt1,Coagulated Blood,1,3
covenantseal_occultist,Covenant Occultist Seal,0,1
mediumlegs_covenantrank5,Reinforced Covenant Adjudicator Pants of the Brigand,5,243
covenantseal_cleric,Covenant Cleric Seal,0,1
covenantseal_barbarian,Covenant Barbarian Seal,0,1
mediumlegs_covenantrank4,Reinforced Covenant Lumen Pants of the Brigand,4,81
mediumlegs_covenantrank3,Reinforced Covenant Excubitor Pants of the Brigand,3,27
mediumlegs_covenantrank2,Reinforced Covenant Templar Pants of the Brigand,2,9
mediumlegs_covenantrank1,Reinforced Covenant Initiate Pants of the Brigand,1,3
mediumhead_syndicaterank5,Reinforced Syndicate Alchemist Hat of the Brigand,5,243
mediumhead_syndicaterank4,Reinforced Syndicate Cabalist Hat of the Brigand,4,81
mediumhead_syndicaterank3,Reinforced Syndicate Chronicler Hat of the Brigand,3,27
mediumhead_syndicaterank2,Reinforced Syndicate Scrivener Hat of the Brigand,2,9
mediumhead_syndicaterank1,Reinforced Syndicate Adept Hat of the Brigand,1,3
mediumhead_syndicateplaguedoctort5,Reinforced Syndicate Plague Doctor Mask of the Mage,5,243
workorder_1002_0104_hat_shroudedintent,Shrouded Intent Work Order,0,1
1002_0104_corruptedthread,Infused Orichalcum Thread,0,1
1002_0104_smudgedfeathers,Smudged Feathers,0,1
1002_0104_umbralcloth,Umbral Cloth,0,1
mediumhead_marauderrank5,Reinforced Marauder Commander Hat of the Brigand,5,243
mediumhead_marauderrank4,Reinforced Marauder Destroyer Hat of the Brigand,4,81
mediumhead_marauderrank3,Reinforced Marauder Ravager Hat of the Brigand,3,27
mediumhead_marauderrank2,Reinforced Marauder Gladiator Hat of the Brigand,2,9
mediumhead_marauderrank1,Reinforced Marauder Soldier Hat of the Brigand,1,3
mediumhead_covenantrank5,Reinforced Covenant Adjudicator Hat of the Brigand,5,243
mediumhead_covenantrank4,Reinforced Covenant Lumen Hat of the Brigand,4,81
mediumhead_covenantrank3,Reinforced Covenant Excubitor Hat of the Brigand,3,27
mediumhead_covenantrank2,Reinforced Covenant Templar Hat of the Brigand,2,9
mediumhead_covenantrank1,Reinforced Covenant Initiate Hat of the Brigand,1,3
mediumhands_syndicaterank5,Reinforced Syndicate Alchemist Gloves of the Brigand,5,243
mediumhands_syndicaterank4,Reinforced Syndicate Cabalist Gloves of the Brigand,4,81
mediumhands_syndicaterank3,Reinforced Syndicate Chronicler Gloves of the Brigand,3,27
mediumhands_syndicaterank2,Reinforced Syndicate Scrivener Gloves of the Brigand,2,9
mediumhands_syndicaterank1,Reinforced Syndicate Adept Gloves of the Brigand,1,3
mediumhands_syndicateplaguedoctort5,Reinforced Syndicate Plague Doctor Gloves of the Mage,5,243
agenttenebrous,Tenebrous Agent,0,1
mediumhands_shroudedintentglovest5,Shrouded Intent Gloves,2,4
workorder_1002_0104_gloves_shroudedintent,Shrouded Intent Work Order,0,1
1002_0104_layeredleather,Layered Guardian Leather,0,1
1002_0104_siphonedtwilight,Siphoned Twilight,0,1
1002_0104_duskfalldye,Duskfall Dye,0,1
mediumhands_marauderrank5,Reinforced Marauder Commander Gloves of the Brigand,5,243
mediumhands_marauderrank4,Reinforced Marauder Destroyer Gloves of the Brigand,4,81
mediumhands_marauderrank3,Reinforced Marauder Ravager Gloves of the Brigand,3,27
mediumhands_marauderrank2,Reinforced Marauder Gladiator Gloves of the Brigand,2,9
mediumhands_marauderrank1,Reinforced Marauder Soldier Gloves of the Brigand,1,3
mediumhands_covenantrank5,Reinforced Covenant Adjudicator Gloves of the Brigand,5,243
mediumhands_covenantrank4,Reinforced Covenant Lumen Gloves of the Brigand,4,81
mediumhands_covenantrank3,Reinforced Covenant Excubitor Gloves of the Brigand,3,27
mediumhands_covenantrank2,Reinforced Covenant Templar Gloves of the Brigand,2,9
mediumhands_covenantrank1,Reinforced Covenant Initiate Gloves of the Brigand,1,3
mediumfeet_syndicaterank5,Reinforced Syndicate Alchemist Shoes of the Brigand,5,243
mediumfeet_syndicaterank4,Reinforced Syndicate Cabalist Shoes of the Brigand,4,81
mediumfeet_syndicaterank3,Reinforced Syndicate Chronicler Shoes of the Brigand,3,27
mediumfeet_syndicaterank2,Reinforced Syndicate Scrivener Shoes of the Brigand,2,9
mediumfeet_syndicaterank1,Reinforced Syndicate Adept Shoes of the Brigand,1,3
mediumfeet_syndicateplaguedoctort5,Reinforced Syndicate Plague Doctor Boots of the Mage,5,243
agentdarkened,Darkened Agent,0,1
mediumfeet_shroudedintentbootst4,Shrouded Intent Boots,2,4
workorder_1002_0104_boots_shroudedintent,Shrouded Intent Work Order,0,1
1002_0104_soakedleather,Soaked Pullpatch Leather,0,1
1002_0104_muffledpadding,Muffled Fen Padding,0,1
1002_0104_essenceofshadow,Essence of Shadow,0,1
mediumfeet_marauderrank5,Reinforced Marauder Commander Shoes of the Brigand,5,243
mediumfeet_marauderrank4,Reinforced Marauder Destroyer Shoes of the Brigand,4,81
mediumfeet_marauderrank3,Reinforced Marauder Ravager Shoes of the Brigand,3,27
mediumfeet_marauderrank2,Reinforced Marauder Gladiator Shoes of the Brigand,2,9
mediumfeet_marauderrank1,Reinforced Marauder Soldier Shoes of the Brigand,1,3
mediumfeet_covenantrank5,Reinforced Covenant Adjudicator Shoes of the Brigand,5,243
mediumfeet_covenantrank4,Reinforced Covenant Lumen Shoes of the Brigand,4,81
mediumfeet_covenantrank3,Reinforced Covenant Excubitor Shoes of the Brigand,3,27
mediumfeet_covenantrank2,Reinforced Covenant Templar Shoes of the Brigand,2,9
mediumfeet_covenantrank1,Reinforced Covenant Initiate Shoes of the Brigand,1,3
mediumchest_syndicaterank5,Reinforced Syndicate Alchemist Coat of the Brigand,5,243
mediumchest_syndicaterank4,Reinforced Syndicate Cabalist Coat of the Brigand,4,81
mediumchest_syndicaterank3,Reinforced Syndicate Chronicler Coat of the Brigand,3,27
mediumchest_syndicaterank2,Reinforced Syndicate Scrivener Coat of the Brigand,2,9
mediumchest_syndicaterank1,Reinforced Syndicate Adept Coat of the Brigand,1,3
mediumchest_syndicateplaguedoctort5,Reinforced Syndicate Plague Doctor Robes of the Mage,5,243
agentshadowed,Shadowed Agent,0,1
mediumchest_shroudedintentcoatt4,Shrouded Intent Coat,2,4
workorder_1002_0104_coat_shroudedintent,Shrouded Intent Work Order,0,1
1002_0104_stormsailscraps,Stormsail Scraps,0,1
1002_0104_blightbanepitch,Nightbane Pitch,0,1
1002_0104_huntersclasps,Hunter's Shark Clasps,0,1
mediumchest_marauderrank5,Reinforced Marauder Commander Coat of the Brigand,5,243
mediumchest_marauderrank4,Reinforced Marauder Destroyer Coat of the Brigand,4,81
mediumchest_marauderrank3,Reinforced Marauder Ravager Coat of the Brigand,3,27
mediumchest_marauderrank2,Reinforced Marauder Gladiator Coat of the Brigand,2,9
mediumchest_marauderrank1,Reinforced Marauder Soldier Coat of the Brigand,1,3
mediumchest_covenantrank5,Reinforced Covenant Adjudicator Coat of the Brigand,5,243
mediumchest_covenantrank4,Reinforced Covenant Lumen Coat of the Brigand,4,81
mediumchest_covenantrank3,Reinforced Covenant Excubitor Coat of the Brigand,3,27
mediumchest_covenantrank2,Reinforced Covenant Templar Coat of the Brigand,2,9
mediumchest_covenantrank1,Reinforced Covenant Initiate Coat of the Brigand,1,3
workorder_measuringvesselt5,Reinforced Measuring Vessel,5,243
workorder_measuringvesselt4,Large Measuring Vessel,4,81
workorder_measuringvesselt3,Medium Measuring Vessel,3,27
workorder_measuringvesselt2,Small Measuring Vessel,2,9
malachitet3,Brilliant Malachite,2,14
malachitet2,Malachite,1,7
malachitet1,Flawed Malachite,1,3
malachitet4,Pristine Malachite,3,47
runicthreadt5,Runic Thread,5,243
scaleclotht1,Scalecloth,1,3
blisterweavet1,Blisterweave,1,3
lightlegs_syndicaterank5,Reinforced Syndicate Alchemist Leggings of the Priest,5,243
lightlegs_syndicaterank4,Reinforced Syndicate Cabalist Leggings of the Priest,4,81
lightlegs_syndicaterank3,Reinforced Syndicate Chronicler Leggings of the Priest,3,27
lightlegs_syndicaterank2,Reinforced Syndicate Scrivener Leggings of the Priest,2,9
lightlegs_syndicaterank1,Reinforced Syndicate Adept Leggings of the Priest,1,3
transferancecharm,Transference Charm,0,1
lightlegs_protectivewyrdpantst5,Protective Wyrd Pants,2,4
workorder_1303_1311_pants_protectivewyrd,Protective Wyrd Work Order,0,1
1303_1311_stitchedwards,Stitched Wards,0,1
1303_1311_infusedlining,Infused Lining,0,1
1303_1311_twiceworkedwool,Ceremonial Worked Wool,0,1
lightlegs_marauderrank5,Reinforced Marauder Commander Leggings of the Priest,5,243
marauderseal_brigand,Marauder Brigand Seal,0,1
lightlegs_marauderrank4,Reinforced Marauder Destroyer Leggings of the Priest,4,81
lightlegs_marauderrank3,Reinforced Marauder Ravager Leggings of the Priest,3,27
lightlegs_marauderrank2,Reinforced Marauder Gladiator Leggings of the Priest,2,9
lightlegs_marauderrank1,Reinforced Marauder Soldier Leggings of the Priest,1,3
lightlegs_covenantrank5,Reinforced Covenant Adjudicator Leggings of the Priest,5,243
covenantseal_brigand,Covenant Brigand Seal,0,1
lightlegs_covenantrank4,Reinforced Covenant Lumen Leggings of the Priest,4,81
lightlegs_covenantrank3,Reinforced Covenant Excubitor Leggings of the Priest,3,27
lightlegs_covenantrank2,Reinforced Covenant Templar Leggings of the Priest,2,9
lightlegs_covenantrank1,Reinforced Covenant Initiate Leggings of the Priest,1,3
lighthead_syndicaterank5,Reinforced Syndicate Alchemist Headwear of the Priest,5,243
lighthead_syndicaterank4,Reinforced Syndicate Cabalist Headwear of the Priest,4,81
lighthead_syndicaterank3,Reinforced Syndicate Chronicler Headwear of the Priest,3,27
lighthead_syndicaterank2,Reinforced Syndicate Scrivener Headwear of the Priest,2,9
lighthead_syndicaterank1,Reinforced Syndicate Adept Headwear of the Priest,1,3
workorder_1303_1311_hat_protectivewyrd,Protective Wyrd Work Order,0,1
1303_1311_dawnglowomens,Dawnglow Omens,0,1
1303_1311_protectiveresin,Virid Resin,0,1
1303_1311_spectralcloth,Spectral Cloth,0,1
lighthead_marauderrank5,Reinforced Marauder Commander Headwear of the Priest,5,243
lighthead_marauderrank4,Reinforced Marauder Destroyer Headwear of the Priest,4,81
lighthead_marauderrank3,Reinforced Marauder Ravager Headwear of the Priest,3,27
lighthead_marauderrank2,Reinforced Marauder Gladiator Headwear of the Priest,2,9
lighthead_marauderrank1,Reinforced Marauder Soldier Headwear of the Priest,1,3
lighthead_covenantrank5,Reinforced Covenant Adjudicator Headwear of the Priest,5,243
lighthead_covenantrank4,Reinforced Covenant Lumen Headwear of the Priest,4,81
lighthead_covenantrank3,Reinforced Covenant Excubitor Headwear of the Priest,3,27
lighthead_covenantrank2,Reinforced Covenant Templar Headwear of the Priest,2,9
lighthead_covenantrank1,Reinforced Covenant Initiate Headwear of the Priest,1,3
lighthands_syndicaterank5,Reinforced Syndicate Alchemist Handcovers of the Priest,5,243
lighthands_syndicaterank4,Reinforced Syndicate Cabalist Handcovers of the Priest,4,81
lighthands_syndicaterank3,Reinforced Syndicate Chronicler Handcovers of the Priest,3,27
lighthands_syndicaterank2,Reinforced Syndicate Scrivener Handcovers of the Priest,2,9
lighthands_syndicaterank1,Reinforced Syndicate Adept Handcovers of the Priest,1,3
transferanceicon,Transference Icon,0,1
lighthands_protectivewyrdglovest5,Protective Wyrd Gloves,2,4
workorder_1303_1311_gloves_protectivewyrd,Protective Wyrd Work Order,0,1
1303_1311_reinforcedweave,Cragview Reinforced Weave,0,1
1303_1311_cleansedfibers,Shambhala Cleansed Fibers,0,1
1303_1311_wyrdwoodcharms,Wyrdwood Charms,0,1
