Source,Target,Quantity,Tradeskill,Rarity,Station,ItemType,Category,Value
oilt1,coatingbeastt4,1,Arcana,0,Arcane Repository Tier 4,Consumable,Concoctions,3
oilt1,coatingbeastt3,1,Arcana,0,Arcane Repository Tier 3,Consumable,Concoctions,3
oilt1,coatingbeastt2,1,Arcana,0,Arcane Repository Tier 2,Consumable,Concoctions,3
oilt1,coatingangryeartht5,1,Arcana,0,Arcane Repository Tier 5,Consumable,Concoctions,3
oilt1,coatingangryeartht4,1,Arcana,0,Arcane Repository Tier 4,Consumable,Concoctions,3
oilt1,coatingangryeartht3,1,Arcana,0,Arcane Repository Tier 3,Consumable,Concoctions,3
oilt1,coatingangryeartht2,1,Arcana,0,Arcane Repository Tier 2,Consumable,Concoctions,3
oilt1,coatingancientt5,1,Arcana,0,Arcane Repository Tier 5,Consumable,Concoctions,3
oilt1,coatingancientt4,1,Arcana,0,Arcane Repository Tier 4,Consumable,Concoctions,3
oilt1,coatingancientt3,1,Arcana,0,Arcane Repository Tier 3,Consumable,Concoctions,3
oilt1,coatingancientt2,1,Arcana,0,Arcane Repository Tier 2,Consumable,Concoctions,3
oilt1,oakfleshbalmt5,1,Armoring,0,Outfitting Station Tier 5,Consumable,Consumables,3
oilt1,oakfleshbalmt4,1,Armoring,0,Outfitting Station Tier 4,Consumable,Consumables,3
oilt1,oakfleshbalmt3,1,Armoring,0,Outfitting Station Tier 3,Consumable,Consumables,3
oilt1,oakfleshbalmt2,1,Armoring,0,Outfitting Station Tier 2,Consumable,Consumables,3
oilt1,house_housingitem_lighting_settler_lightwall01_a,1,Furnishing,1,Workshop Tier 2,HousingItem,Furniture,3
oilt1,house_housingitem_lighting_settler_lighttable01_a,1,Furnishing,1,Workshop Tier 2,HousingItem,Furniture,3
oilt1,house_housingitem_lighting_settler_lighthanging01_a,1,Furnishing,1,Workshop Tier 2,HousingItem,Furniture,3
oilt1,house_housingitem_lighting_lantern_c,1,Furnishing,1,Workshop Tier 2,HousingItem,Furniture,3
solventt4,woodstaint4,1,Furnishing,2,Workshop Tier 4,Resource,Crafting Components,162
solventt3,woodstaint3,1,Furnishing,1,Workshop Tier 3,Resource,Crafting Components,54
solventt3,woodstaint2,1,Furnishing,0,Workshop Tier 2,Resource,Crafting Components,54
solventt3,timbert2,1,Woodworking,0,Woodshop Tier 3,Resource,Material Downgrades,54
solventt3,leathert2,1,Leatherworking,0,Tannery Tier 3,Resource,Material Downgrades,54
solventt3,ingott2,1,Smelting,0,Smelter Tier 3,Resource,Material Downgrades,54
solventt3,ingotprecioust1,1,Smelting,0,Smelter Tier 3,Resource,Material Downgrades,54
solventt3,house_housingitem_table_logtablestump,1,Furnishing,0,Workshop Tier 3,HousingItem,Furniture,54
solventt3,house_housingitem_hw_placesetting,1,Furnishing,0,Workshop Tier 2,HousingItem,Furniture,54
solventt3,house_housingitem_basket_a,1,Furnishing,0,Workshop Tier 2,HousingItem,Furniture,54
solventt3,clotht2,1,Weaving,0,Loom Tier 3,Resource,Material Downgrades,54
solventt3,blockt2,1,Stonecutting,0,Stonecutting Table Tier 3,Resource,Material Downgrades,54
charcoalt1,woodstaint2,1,Furnishing,0,Workshop Tier 2,Resource,Crafting Components,3
charcoalt1,ingott51,1,Smelting,3,Smelter Tier 5,Resource,Refined Resources,3
charcoalt1,ingott5,1,Smelting,0,Smelter Tier 5,Resource,Refined Resources,3
charcoalt1,ingott4,1,Smelting,0,Smelter Tier 4,Resource,Refined Resources,3
charcoalt1,ingott3,1,Smelting,0,Smelter Tier 3,Resource,Refined Resources,3
charcoalt1,incenset5,1,Furnishing,0,Workshop Tier 5,Consumable,Consumables,3
charcoalt1,incenset4,1,Furnishing,0,Workshop Tier 4,Consumable,Consumables,3
charcoalt1,incenset3,1,Furnishing,0,Workshop Tier 3,Consumable,Consumables,3
charcoalt1,incenset2,1,Furnishing,0,Workshop Tier 2,Consumable,Consumables,3
charcoalt1,gunpowdert2,1,Engineering,1,Workshop Tier 2,Resource,Crafting Components,3
repair_t1,repairkitt5,1,Armoring,0,Outfitting Station Tier 5,Resource,Consumables,3
repair_t1,repairkitt4,1,Armoring,0,Outfitting Station Tier 4,Resource,Consumables,3
repair_t1,repairkitt3,1,Armoring,0,Outfitting Station Tier 3,Resource,Consumables,3
repair_t1,repairkitt2,1,Armoring,0,Outfitting Station Tier 2,Resource,Consumables,3
Any Craft Mods,repairkitt5,1,Armoring,0,Outfitting Station Tier 5,Resource,Consumables,1
Any Craft Mods,repairkitt4,1,Armoring,0,Outfitting Station Tier 4,Resource,Consumables,1
Any Craft Mods,repairkitt3,1,Armoring,0,Outfitting Station Tier 3,Resource,Consumables,1
Any Craft Mods,repairkitt2,1,Armoring,0,Outfitting Station Tier 2,Resource,Consumables,1
ingott51,trinket_settingt51,3,Jewelcrafting,3,Outfitting Station Tier 5,Resource,Crafting Components,5463
ingott51,trinket_hookt51,3,Jewelcrafting,3,Outfitting Station Tier 5,Resource,Crafting Components,5463
ingott51,trinket_chaint51,3,Jewelcrafting,3,Outfitting Station Tier 5,Resource,Crafting Components,5463
ingott51,trinket_bandt51,3,Jewelcrafting,3,Outfitting Station Tier 5,Resource,Crafting Components,5463
ingott51,mediumlegs_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,mediumhead_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,mediumhands_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,mediumfeet_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,mediumchest_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,lightlegs_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,lighthead_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,lighthands_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,lightfeet_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,lightchest_voidbentt5,3,Armoring,4,Outfitting Station Tier 5,Armor,Armor,5463
ingott51,heavylegs_voidbentt5,3,Armoring,4,Forge Tier 5,Armor,Armor,5463
ingott51,heavyhead_voidbentt5,3,Armoring,4,Forge Tier 5,Armor,Armor,5463
ingott51,heavyhands_voidbentt5,3,Armoring,4,Forge Tier 5,Armor,Armor,5463
ingott51,heavyfeet_voidbentt5,3,Armoring,4,Forge Tier 5,Armor,Armor,5463
ingott51,heavychest_voidbentt5,3,Armoring,4,Forge Tier 5,Armor,Armor,5463
ingott51,2hwarhammer_yulkithirt5,3,Weaponsmithing,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hwarhammer_stonerendt5,3,Weaponsmithing,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hwarhammer_sacreddemiset5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hwarhammer_graithsmault5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hstafffire_waningcrescent_t5,3,Arcana,3,Arcane Repository Tier 5,Weapon,Weapons,5463
ingott51,2hstafffire_raget5,3,Arcana,4,Arcane Repository Tier 5,Weapon,Weapons,5463
ingott51,2hstafffire_enchantedflamestafft5,3,Arcana,3,Arcane Repository Tier 5,Weapon,Weapons,5463
ingott51,2hspear_soulforgedspeart5,3,Engineering,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hspear_hiddentruthst5,3,Engineering,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hspear_flawlessgrandmastersspeart5,3,Engineering,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hspear_faedragonsclawt5,3,Engineering,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hmusket_musketofunseenpowert5,3,Engineering,4,Workshop Tier 5,Weapon,Weapons,5463
ingott51,2hmusket_inquisitiont5,3,Engineering,3,Workshop Tier 5,Weapon,Weapons,5463
ingott51,2hmusket_fearofpeacet5,3,Engineering,3,Workshop Tier 5,Weapon,Weapons,5463
ingott51,2hmusket_faeforgedmuskett5,3,Engineering,3,Workshop Tier 5,Weapon,Weapons,5463
ingott51,2hgreataxe_warriorsbreatht5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hgreataxe_pestilencet5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hgreataxe_eternalduskt5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,2hgreataxe_darkskyt5,3,Weaponsmithing,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hthrowingaxe_pixiespunishert5,3,Engineering,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hthrowingaxe_makersmarkt5,3,Engineering,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hthrowingaxe_bestwishest5,3,Engineering,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hthrowingaxe_axeoftheabysst5,3,Engineering,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hroundshield_heroesshieldt5,3,Weaponsmithing,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hrapier_voidbringersrapiert5,3,Weaponsmithing,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hrapier_renaissancet5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hrapier_needlert5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hrapier_honorboundrapiert5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hlongsword_whisperofthewoodt5,3,Weaponsmithing,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hlongsword_voidforgedharbingert5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hlongsword_opusbladet5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hlongsword_masterstroket5,3,Weaponsmithing,3,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hkiteshield_heroicshieldt5,3,Weaponsmithing,4,Forge Tier 5,Weapon,Weapons,5463
ingott51,1hgauntletice_mastercryomancersgauntlett5,3,Arcana,4,Arcane Repository Tier 5,Weapon,Weapons,5463
ingott51,1hgauntletice_glacialraget5,3,Arcana,4,Arcane Repository Tier 5,Weapon,Weapons,5463
ingott51,1hgauntletice_frostfairysgiftt5,3,Arcana,4,Arcane Repository Tier 5,Weapon,Weapons,5463
ingott5,trinket_settingt5,1,Jewelcrafting,0,Outfitting Station Tier 5,Resource,Crafting Components,336
ingott5,trinket_hookt5,1,Jewelcrafting,0,Outfitting Station Tier 5,Resource,Crafting Components,336
ingott5,trinket_chaint5,1,Jewelcrafting,0,Outfitting Station Tier 5,Resource,Crafting Components,336
ingott5,trinket_bandt5,1,Jewelcrafting,0,Outfitting Station Tier 5,Resource,Crafting Components,336
ingott5,shott5,1,Engineering,0,Workshop Tier 5,Ammo,Ammunition,336
ingott5,ingott51,1,Smelting,3,Smelter Tier 5,Resource,Refined Resources,336
ingott5,house_housingitem_windchimes_post_c,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_settler_table02_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_settler_table01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_settler_desk01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_settler_decor_garden_picnictable01,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_settler_bedsidetable_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_pirate_table02_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_pirate_table02_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_pirate_table01_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_pirate_table01_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_pirate_island01,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_pirate_dresser01_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_pirate_dresser01_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_pirate_desk01_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_table_pirate_desk01_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_storage_t4_cheststeel,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_stove01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_shelf01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_dresser01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_decor_wall_curtain03_b,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_decor_wall_curtain02_b,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_decor_wall_curtain01_b,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_decor_floor_fireplace03,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_decor_floor_fireplace02,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_cabinet02_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_cabinet01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_bookcase02_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_bookcase01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_settler_armoire01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_scrollbookcase_lg,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_roundbirdcage,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_stove01_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_stove01_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_shelf01_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_shelf01_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_decor_curtain03_b,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_decor_curtain02_b,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_decor_curtain01_b,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_cabinet02_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_cabinet02_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_cabinet01_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_cabinet01_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_bookcase02_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_bookcase02_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_bookcase01_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_bookcase01_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_bedsidetable_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_bedsidetable_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_armoire01_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_pirate_armoire01_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_lighting_pirate_lightwall01_a,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_lighting_pirate_lighttable01_a,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_lighting_pirate_lightceiling01_a,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_lighting_candleholder_a,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_settler_stool_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_settler_chair02_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_settler_chair01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_pirate_stool_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_pirate_stool_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_pirate_chair02_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_pirate_chair02_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_pirate_chair01_d,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_pirate_chair01_c,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_lg_a,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_chair_finechair_b,1,Furnishing,0,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_skinning_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_outfitting_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_mining_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_luck_bonus_t3,1,Furnishing,4,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_logging_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_harvesting_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_fishing_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_engineering_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_damage_vs_lost_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_damage_vs_corrupted_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_damage_vs_beasts_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_damage_vs_angryearth_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_damage_vs_ancients_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_cooking_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_blacksmithing_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_buff_alchemy_bonus_t3,1,Furnishing,3,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_bed_settler_bed02_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_bed_settler_bed01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_bed_pirate_bed02_a,1,Furnishing,1,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_bed_pirate_bed01_d,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_bed_pirate_bed01_c,1,Furnishing,2,Workshop Tier 5,HousingItem,Furniture,336
ingott5,house_housingitem_bed_bunk_t2,1,Furnishing,0,Workshop Tier 3,HousingItem,Furniture,336
ingott5,arrowt5,1,Engineering,0,Workshop Tier 5,Ammo,Ammunition,336
ingott5,2hstafflife_windsingert5,1,Arcana,4,Arcane Repository Tier 5,Weapon,Weapons,336
ingott5,2hstafflife_echoofgracet5,1,Arcana,2,Arcane Repository Tier 5,Weapon,Weapons,336
ingott5,2hstafflife_blessedwildwoodlifestafft5,1,Arcana,3,Arcane Repository Tier 5,Weapon,Weapons,336
ingotprecioust3,trinket_settingt4,1,Jewelcrafting,0,Outfitting Station Tier 4,Resource,Crafting Components,38
ingotprecioust3,trinket_hookt4,1,Jewelcrafting,0,Outfitting Station Tier 4,Resource,Crafting Components,38
ingotprecioust3,trinket_chaint4,1,Jewelcrafting,0,Outfitting Station Tier 4,Resource,Crafting Components,38
ingotprecioust3,trinket_bandt4,1,Jewelcrafting,0,Outfitting Station Tier 4,Resource,Crafting Components,38
ingotprecioust3,2hwarhammer_shatteredhopet4,1,Weaponsmithing,3,Forge Tier 4,Weapon,Weapons,38
ingotprecioust3,2hwarhammer_serendipityt4,1,Weaponsmithing,3,Forge Tier 4,Weapon,Weapons,38
ingotprecioust3,2hwarhammer_hammerofforgottendreamst4,1,Weaponsmithing,1,Forge Tier 4,Weapon,Weapons,38
ingotprecioust3,2hstafflife_graspinglightt4,1,Arcana,3,Arcane Repository Tier 4,Weapon,Weapons,38
ingotprecioust3,2hstafflife_devoutworryt4,1,Arcana,3,Arcane Repository Tier 4,Weapon,Weapons,38
ingotprecioust3,2hstafflife_balanceoflifet4,1,Arcana,3,Arcane Repository Tier 4,Weapon,Weapons,38
ingotprecioust3,2hstafffire_magmacorestafft4,1,Arcana,3,Arcane Repository Tier 4,Weapon,Weapons,38
ingotprecioust3,2hstafffire_insatiablewantt4,1,Arcana,3,Arcane Repository Tier 4,Weapon,Weapons,38
ingotprecioust3,2hstafffire_eruptiont4,1,Arcana,2,Arcane Repository Tier 4,Weapon,Weapons,38
ingotprecioust3,2hspear_violentdissentt4,1,Engineering,4,Forge Tier 4,Weapon,Weapons,38
ingotprecioust3,2hspear_irreverentedget4,1,Engineering,3,Forge Tier 4,Weapon,Weapons,38
